internal_sku,catalog_status,review_reason,review_flag,supplier_part_number,supplier_code_family,raw_description,normalized_part_name,brand_bike,primary_family,fitment_models,variant_tokens,side,net_rate_rs,sku_seed
ACT-CDI-OM,review,mixed_fitment_families,yes,52010,NUMERIC,CDI ACTIVA O/M/DIO O/M (3 SHOCKET 4/2/4),CDI Unit,HONDA,ACTIVA,Activa Old Model|Dio Old Model,O/M,,611.25,ACTIVA-CDI
HFD-CDI,review,mixed_fitment_families,yes,52153,NUMERIC,CDI HF DLX/PASSION I3S (AAC1),CDI Unit,HERO,HFDLX,HF Deluxe|Passion,,,815.25,HFDLX-CDI
UNI-PIPE,review,primary_family_review|generic_brand_only,yes,53100KCC710S,NUMERIC,PIPE STRG HANDLE,Pipe Strg Handle,UNIVERSAL/OTHER,UNIVERSAL,,,,344.52,UNIVERSAL-PIPESTRG
UNI-HOUS,review,primary_family_review|generic_brand_only|sku_collision,yes,53167GE4000S,NUMERIC,HOUSING-UNDER THROTTLE,Housing-Under Throttle,UNIVERSAL/OTHER,UNIVERSAL,,,,19.68,UNIVERSAL-HOUSINGU
UNI-HOUS,review,primary_family_review|generic_brand_only|sku_collision,yes,53168166000S,NUMERIC,HOUSING UPPER THROTTLE,Housing Upper Throttle,UNIVERSAL/OTHER,UNIVERSAL,,,,22.50,UNIVERSAL-HOUSINGU
UNI-HDLV,review,primary_family_review|generic_brand_only,yes,53172KTC9208,NUMERIC,BRKT.L HANDLE LEVER,Handle Lever,UNIVERSAL/OTHER,UNIVERSAL,,,,71.72,UNIVERSAL-HANDLELVR
UNI-HDLV-RHS,review,primary_family_review|generic_brand_only,yes,53173KTRA20S,NUMERIC,BRACKET RIGHT HANDLE LEVER,Handle Lever,UNIVERSAL/OTHER,UNIVERSAL,,,RHS,64.69,UNIVERSAL-HANDLELVR-RHS
ACT-RRUN-HET3G4GP,review,mixed_fitment_families|many_fitments,yes,54063,NUMERIC,RR UNIT ACTIVA HET/3G/4G/SPL PRO/PAS PRO/CB,RR Unit,HONDA,ACTIVA,Activa HET|Activa 3G|Activa 4G|Splendor Pro,HET|3G|4G,,387.00,ACTIVA-RRUNIT
PAS-LSCB-PRO,review,mixed_fitment_families|many_fitments|sku_collision,yes,70060438,NUMERIC,LUCAS SELF CARBON UNICORN/PASS PRO/SPL PRO/YUGA,Lucas Self Carbon,HONDA,PASSION,Passion Pro|Splendor Pro|Unicorn|Dream Yuga,,,53.72,PASSION-LUCASSEL
PAS-LSCB-PRO,review,mixed_fitment_families|sku_collision,yes,70060455,NUMERIC,LUCAS SELF CARBON PASS PRO/SPL PRO,Lucas Self Carbon,HERO,PASSION,Passion Pro|Splendor Pro,,,57.76,PASSION-LUCASSEL
ACT-LSCB-3G,review,mixed_fitment_families,yes,70060476,NUMERIC,LUCAS SELF CARBON ACTIVA 3G/WEGO/VICTOR/DF,Lucas Self Carbon,HONDA,ACTIVA,Activa 3G|Wego,3G,,54.72,ACTIVA-LUCASSEL
ACT-LSCB,review,mixed_fitment_families,yes,70060487,NUMERIC,LUCAS SELF CARBON ACTIVA/PLEASURE/SCOOTY P,Lucas Self Carbon,HONDA,ACTIVA,Activa|Pleasure,,,50.92,ACTIVA-LUCASSEL
UNI-BASE,review,primary_family_review|generic_brand_only,yes,80102KCC900S,NUMERIC,BASE TAILLIGHT,Base Taillight,UNIVERSAL/OTHER,UNIVERSAL,,,,38.13,UNIVERSAL-BASETAIL
UNI-PLAT,review,primary_family_review|generic_brand_only,yes,80150KCC900S,NUMERIC,PLATE RR FENDER,Plate Rr Fender,UNIVERSAL/OTHER,UNIVERSAL,,,,28.12,UNIVERSAL-PLATERRF
UNI-PANE,review,primary_family_review|generic_brand_only,yes,83402KCC900S,NUMERIC,PANEL INNER,Panel Inner,UNIVERSAL/OTHER,UNIVERSAL,,,,46.40,UNIVERSAL-PANELINN
UNI-ANAB,review,primary_family_review|generic_brand_only,yes,ANABOND666T,ANABOND,ANABOND 666T-MAX 15 GMS (CLEAR),Anabond,UNIVERSAL/OTHER,UNIVERSAL,,,,25.00,UNIVERSAL-ANABOND
UNI-ANAB,review,primary_family_review|generic_brand_only,yes,ANABOND696,ANABOND,ANABOND 696 15 GMS (GREY),Anabond,UNIVERSAL/OTHER,UNIVERSAL,,,,20.00,UNIVERSAL-ANABOND
CDD-PTAP,review,mixed_fitment_families,yes,AR1125,AR,AR PETROL TAP SPL/PASS/CD DLX/SHINE,Petrol Tap,UNIVERSAL/OTHER,CDDELUXE,CD Deluxe|Shine,,,82.00,CDDELUXE-PETROLTAP
CDD-PTAP-LCK,review,mixed_fitment_families,yes,AR2013,AR,AR PETROL TAP SPL/PASS/CD DLX/SHINE LOCKABL,Petrol Tap,UNIVERSAL/OTHER,CDDELUXE,CD Deluxe|Shine,,,105.00,CDDELUXE-PETROLTAP
UNI-BEAR,review,primary_family_review|generic_brand_only|sku_collision,yes,ARB6000,AR,BAIL BEARINGS 6000,Ball Bearings,UNIVERSAL/OTHER,UNIVERSAL,,,,33.04,UNIVERSAL-BEARING
UNI-BEAR,review,primary_family_review|generic_brand_only|sku_collision,yes,ARB6004RSKIT,AR,BAIL BEARINGS 6004 RS (KIT),Ball Bearings,UNIVERSAL/OTHER,UNIVERSAL,,,,120.00,UNIVERSAL-BEARING
UNI-BEAR,review,primary_family_review|generic_brand_only|sku_collision,yes,ARB6200RS,AR,BAIL BEARINGS 6200 RS,Ball Bearings,UNIVERSAL/OTHER,UNIVERSAL,,,,47.04,UNIVERSAL-BEARING
SPL-BSHO-ISM-REAR,review,,no,ASKBS0101,ASKBS,ASK BRAKE SHOE SPLENDOR REAR SMALL/SPL IS,Brake Shoe,HERO,SPLENDOR,Splendor iSmart,,REAR,77.76,SPLENDOR-BRAKESHOE-REAR
KB1-BSHO,review,mixed_fitment_families,yes,ASKBS0128,ASKBS,ASK BRAKE SHOE KB100/PULSAR,Brake Shoe,BAJAJ,KB100,KB100|Pulsar,,,90.30,KB100-BRAKESHOE
WEG-BSHO,review,mixed_fitment_families,yes,ASKBS0129,ASKBS,ASK BRAKE SHOE SAMURAI/WEGO/JUPITER,Brake Shoe,TVS,WEGO,Wego|Jupiter|Samurai,,,106.56,WEGO-BRAKESHOE
FZ-BSHO,review,mixed_fitment_families|many_fitments,yes,ASKBS0136,ASKBS,ASK BRAKE SHOE FZ/FZ-16/FAZER/YAMAHA RAY/F,Brake Shoe,YAMAHA,FZ,Fazer|FZ-16|FZ|Ray,,,137.20,FZ-BRAKESHOE
ACT-BSHO-NMSUP,review,mixed_fitment_families,yes,ASKBS0212,ASKBS,ASK BRAKE SHOE ACTIVA N/M/SUP SPL,Brake Shoe,HONDA,ACTIVA,Activa New Model|Super Splendor,N/M,,95.22,ACTIVA-BRAKESHOE
ACT-CHKC-NM3G4G,review,mixed_fitment_families|many_fitments,yes,ASKCH17,ASK,ASK CHOKE CABLE ACTIVA N/M/3G/4G/MAESTRO,Choke Cable,HONDA,ACTIVA,Activa New Model|Activa 3G|Activa 4G|Maestro,N/M|3G|4G,,51.50,ACTIVA-CHOKECAB
PAS-DPAD-SUP,review,mixed_fitment_families,yes,ASKDBP0502,ASKDBP,ASK DISC PAD UNICON/PASSION/SUP SPL/XTREEM,Disc Pad,UNIVERSAL/OTHER,PASSION,Passion|Super Splendor,,,66.00,PASSION-DISCPAD
FZ-DPAD-FRONT,review,mixed_fitment_families,yes,ASKDBP0503,ASKDBP,ASK DISC PAD PULSAR/FZ N/M/BULLET 350 FRONT,Disc Pad,BAJAJ,FZ,FZ|Pulsar,N/M,FRONT,66.00,FZ-DISCPAD-FRONT
FZ-DPAD-FRONT,review,mixed_fitment_families,yes,ASKDBP0511,ASKDBP,ASK DISC PAD PULSAR/FZ N/M/BULLET 350 FRONT,Disc Pad,BAJAJ,FZ,FZ|Pulsar,N/M,FRONT,66.00,FZ-DISCPAD-FRONT
PUL-DPAD,review,,no,ASKDBP0514,ASKDBP,ASK DISC PAD PULSAR UG4/PULSAR 220/KTM/BULE,Disc Pad,BAJAJ,PULSAR,Pulsar 220|Pulsar,,,70.00,PULSAR-DISCPAD
CBR-DPAD-FRONT,review,mixed_fitment_families,yes,ASKDBP0519,ASKDBP,ASK DISC PAD SHINE N/N FRONT/CBR 150 FRONT,Disc Pad,HONDA,CBR,CBR 150|Shine,,FRONT,65.00,CBR-DISCPAD-FRONT
JUP-DPAD-FRONT,review,mixed_fitment_families,yes,ASKDBP0529,ASKDBP,ASK DISC PAD JUPITER CLASSIC/NTORQ FRONT/TV,Disc Pad,TVS,JUPITER,Jupiter Classic|Ntorq,,FRONT,66.00,JUPITER-DISCPAD-FRONT
ACC-DPAD-125BRG,review,mixed_fitment_families,yes,ASKDBP0531,ASKDBP,ASK DISC PAD ACCESS 125 N/M / BURGMAN STREE,Disc Pad,SUZUKI,ACCESS,Access 125|Burgman,N/M|125,,70.00,ACCESS-DISCPAD
GLM-DPAD-SUP-FRONT,review,mixed_fitment_families,yes,ASKDBP0535,ASKDBP,ASK DISC PAD SUP SPL BS6/GLAMOUR BS6 FRONT,Disc Pad,UNIVERSAL/OTHER,GLAMOUR,Glamour BS6|Glamour|Super Splendor,BS6,FRONT,66.00,GLAMOUR-DISCPAD-FRONT
EV-DPAD,review,primary_family_review,yes,ASKDBP0542,ASKDBP,ASK DISC PAD ATHER ELECTRIC ALL MODEL FRON,Disc Pad,EVs (Ola/Ather/Vespa),EV,,,,70.00,EV-DISCPAD
EV-DPAD-REAR,review,primary_family_review,yes,ASKDBP0543,ASKDBP,ASK DISC PAD ATHER ELECTRIC ALL MODEL REAR,Disc Pad,EVs (Ola/Ather/Vespa),EV,,,REAR,70.00,EV-DISCPAD-REAR
PAS-FBRC-PROSUP-FRONT,review,mixed_fitment_families,yes,ASKFBC04LC,ASK,ASK FRONT BRAKE CABLE SUP SPL/PASS PRO/UNI,Front Brake Cable,HERO,PASSION,Passion Pro|Super Splendor,,FRONT,61.00,PASSION-FBCABLE-FRONT
JUP-BSHO,review,mixed_fitment_families,yes,ASKNABS00023,ASKNABS,ASK BRAKE SHOE JUPITER/WEGO (WHITE BOX),Brake Shoe,TVS,JUPITER,Jupiter|Wego,,,106.95,JUPITER-BRAKESHOE
ACC-RBRC-BS6BRG-REAR,review,mixed_fitment_families,yes,ASKRB1/184,ASKRB,ASK REAR BRAKE CABLE ACCESS BS6/BURGMAN B,Rear Brake Cable,SUZUKI,ACCESS,Access BS6|Burgman,BS6,REAR,135.20,ACCESS-RBCABLE-REAR
CBZ-SPDC,review,mixed_fitment_families,yes,ASKSC122,ASKSC,ASK SPEEDOMETER CABLE CD DLX/SHINE/CBZ XTR,Speedometer Cable,HONDA,CBZ,CBZ Xtreme|CD Deluxe|Shine,,,51.50,CBZ-SPDCABLE
UNI-TMCH,review,primary_family_review|generic_brand_only,yes,B25HBSD-84-2,B,T.CHAIN HERO HONDA,Timing Chain,UNIVERSAL/OTHER,UNIVERSAL,,,,79.10,UNIVERSAL-TCHAIN
ACT-TMCH,review,mixed_fitment_families|sku_collision,yes,B25HSBSD-86-2,B,T.CHAIN ACTIVA/PLEASARE/DIO,Timing Chain,HONDA,ACTIVA,Activa|Dio,,,93.80,ACTIVA-TCHAIN
ACT-TMCH,review,sku_collision,no,B25HSBSD-90-2,B,T.CHAIN ACTIVA DLX,Timing Chain,HONDA,ACTIVA,Activa,,,95.91,ACTIVA-TCHAIN
PUL-SPLG-SUP,review,mixed_fitment_families,yes,BOSCHUR3DC,BOSCHUR,BOSCH SPARK PLUG PULSAR/SUP SPL/UNICORN/SH,Spark Plug,UNIVERSAL/OTHER,PULSAR,Pulsar|Super Splendor|Unicorn,,,66.00,PULSAR-SPARKPLG
PUL-SPLG-SUP,review,mixed_fitment_families,yes,BOSCHUR3DG,BOSCHUR,BOSCH SPARK PLUG PULSAR/SUP SPL/UNICORN/SH,Spark Plug,UNIVERSAL/OTHER,PULSAR,Pulsar|Super Splendor|Unicorn,,,65.00,PULSAR-SPARKPLG
ACC-BELT,review,mixed_fitment_families,yes,CCV-730,CCV,BELTS SUZUKI ACCESS/SWISS 125,Drive Belt,SUZUKI,ACCESS,Access|Swish 125,125,,171.10,ACCESS-BELT
ACT-BELT,review,mixed_fitment_families|many_fitments,yes,CCV-740,CCV,BELTS ACTIVA/PLEASURE/DIO/MAESTRO,Drive Belt,HONDA,ACTIVA,Activa|Pleasure|Dio|Maestro,O/M,,153.70,ACTIVA-BELT
MAE-BELT-6G,review,mixed_fitment_families|many_fitments,yes,CCV-742,CCV,BELTS ACTIVA 6G/DUET/MAESTRO EDGE/PLEASURE,Drive Belt,HONDA,MAESTRO,Activa 6G|Maestro Edge|Maestro|Pleasure,,,211.70,MAESTRO-BELT
AVI-BELT-NM,review,mixed_fitment_families,yes,CCV-750,CCV,BELTS ACTIVA N/M/AVIATOR N/M ALL HET MOD,Drive Belt,HONDA,AVIATOR,Activa New Model|Aviator New Model|Aviator,N/M|HET,,165.30,AVIATOR-BELT
BRG-BELT-NMBRG,review,mixed_fitment_families,yes,CCV-755,CCV,BELTS SUZUKI ACCESS N/M / BURGMAN STREET 1,Drive Belt,SUZUKI,BURGMAN,Access New Model|Burgman Street|Burgman,N/M,,173.42,BURGMAN-BELT
ACT-ROLO-OM,review,mixed_fitment_families,yes,CPKTP074,CPKTP,ROLON CLUTCH PULLY ASSEMBLY ACTIVA O/M/PLEASURE,Rolon Clutch Pully,HONDA,ACTIVA,Activa Old Model|Pleasure,O/M,,730.40,ACTIVA-ROLONCLU
MAE-ROLO-NM,review,mixed_fitment_families,yes,CPKTP077,CPKTP,ROLON CLUTCH PULLY ASSEMBLY ACTIVA N/M/MAESTRO EDGE,Rolon Clutch Pully,HONDA,MAESTRO,Activa New Model|Maestro Edge|Maestro,N/M,,819.50,MAESTRO-ROLONCLU
ACT-STBR-OM,review,mixed_fitment_families|sku_collision,yes,CS/HO/04,CS,ARB STEERING BALL RACER ACTIVA O/M/WEGO N,Steering Ball Racer,HONDA,ACTIVA,Activa Old Model|Wego,O/M,,192.50,ACTIVA-STEERING
PAS-CHKT-PLUS,review,sku_collision,no,CSBKITF111,CSBKITF,CHAIN KIT PASSION PLUS A.W (108/14/44),Chain Kit,HERO,PASSION,Passion Plus,,,474.50,PASSION-CHAINKIT
HNK-CHKT,review,mixed_fitment_families,yes,CSBKITF122,CSBKITF,CHAIN KIT CBZ EXTREME/HUNK-150CC (126/14/43),Chain Kit,HERO,HUNK,Hunk|Xtreme,,,807.00,HUNK-CHAINKIT
PAS-CHKT-PLUS,review,sku_collision,no,CSBKITF44,CSBKITF,CHAIN KIT PASSION/PASSION + O/M,Chain Kit,HERO,PASSION,Passion Plus,O/M,,463.68,PASSION-CHAINKIT
ACT-BUSH-OM,review,mixed_fitment_families,yes,CSPSETTP026,CSPSETTP,V BUSH ACTIVA O/M N/M/3G/4G/5G/PLEASURE,Bush Activa O/M,HONDA,ACTIVA,Activa Old Model|Pleasure,N/M|O/M|3G|4G|5G,,26.68,ACTIVA-BUSHACTI
ACT-CRBK-NM,review,mixed_fitment_families,yes,CWRSETTP001,CWRSETTP,CLUTCH ROLLER BUSH KIT ACTIVA N/M/MAESTRO,Clutch Roller Bush Kit,HONDA,ACTIVA,Activa New Model|Maestro,N/M,,110.20,ACTIVA-ROLLERKIT
ACT-CRBK,review,mixed_fitment_families,yes,CWRSETTP003,CWRSETTP,CLUTCH ROLLER BUSH KIT ACTIVA/PLEASURE/DIO,Clutch Roller Bush Kit,HONDA,ACTIVA,Activa|Pleasure|Dio,,,103.82,ACTIVA-ROLLERKIT
WEG-CRBK,review,mixed_fitment_families,yes,CWRSETTP012,CWRSETTP,CLUTCH ROLLER BUSH KIT WEGO/JUPITER (BS4),Clutch Roller Bush Kit,TVS,WEGO,Wego|Jupiter,,,103.82,WEGO-ROLLERKIT
ACC-CRBK-NMBRG,review,mixed_fitment_families,yes,CWRSETTP021,CWRSETTP,CLUTCH ROLLER BUSH KIT ACCESS N/M (SEP) / BURGMAN,Clutch Roller Bush Kit,SUZUKI,ACCESS,Access New Model|Burgman,N/M,,143.84,ACCESS-ROLLERKIT
ACT-SHKR-REAR,review,mixed_fitment_families,yes,END4212,END,REAR SHOCKER ACTIVA/PLEASURE,Shocker,HONDA,ACTIVA,Activa|Pleasure,,REAR,603.84,ACTIVA-SHOCKER-REAR
SPL-ACCB-PRO,review,mixed_fitment_families,yes,EU-110N,EU,ACCELERATOR CABLE SUPER SPL/CD DLX/SPL PRO/PASS PRO,Accelerator Cable,HERO,SPLENDOR,Splendor Pro|Passion Pro|CD Deluxe,,,29.00,SPLENDOR-ACCCABLE
PAS-FBRC-PLUS-FRONT,review,mixed_fitment_families,yes,EU-111E,EU,FRONT BRAKE CABLE SPLENDOR/SPL+/PASSION +,Front Brake Cable,HERO,PASSION,Passion Plus|Splendor Plus,,FRONT,32.00,PASSION-FBCABLE-FRONT
PAS-SPDC,review,mixed_fitment_families,yes,EU-115E,EU,SPEEDOMETER CABLE SPLENDOR/PASSION,Speedometer Cable,HERO,PASSION,Passion|Splendor,,,46.53,PASSION-SPDCABLE
UNI-FOGL,review,primary_family_review|generic_brand_only,yes,F1-001AA,F1,MOTORCLCLE LED FOG LIGHT,Fog Light,UNIVERSAL/OTHER,UNIVERSAL,,,,7.50,UNIVERSAL-FOGLIGHT
SHI-COUP,review,mixed_fitment_families,yes,F1-5061,F1,COUPLING RUBBER SHINE/YUGA/STUNER,Coupling Rubber Shine/Yuga/Stuner,HONDA,SHINE,Shine|Dream Yuga,,,48.00,SHINE-COUPLING
HNK-PLUG,review,mixed_fitment_families,yes,F1-5131,F1,PLUG CAP HUNK/CBZ EXTREME/HERO NEW,Plug Cap Hunk/Cbz,UNIVERSAL/OTHER,HUNK,Hunk|Xtreme,,,12.00,HUNK-PLUGCAPH
ACT-INDB,review,mixed_fitment_families,yes,F1-6901,F1,INDICATOR BUTTON ACTIVA OM/NM/RAY/ACCESS/,Indicator Button,HONDA,ACTIVA,Activa|Access|Ray,,,14.00,ACTIVA-INDIBTTN
UNI-TAIL,review,primary_family_review|generic_brand_only,yes,F1-7416,F1,TAIL LIGHT BULB 12V/21/5W (1016),Tail Light Bulb,UNIVERSAL/OTHER,UNIVERSAL,,,,10.00,UNIVERSAL-TAILLIGH
UNI-INDI,review,primary_family_review|generic_brand_only,yes,F1-7420,F1,INDICATOR BULB BIG ORANGE 12V21W (1141A) C,Indicator Bulb Big,UNIVERSAL/OTHER,UNIVERSAL,,,,8.00,UNIVERSAL-INDICATO
ACT-BRLV-NM3G4G5G,review,many_fitments,yes,F1BS-002,F1BS,BRAKE SIDE LEVER ACTIVA N/M/3G/4G/5G (COMBI),Brake Side Lever,HONDA,ACTIVA,Activa New Model|Activa 3G|Activa 4G|Activa 5G,N/M|3G|4G|5G|COMBI,,44.00,ACTIVA-BRKLEVER
ACT-STBR-OM,review,mixed_fitment_families|sku_collision,yes,F1CCS-08,F1CCS,STEERING BALL RACER ACTIVA O/M/WEGO N/M,Steering Ball Racer,HONDA,ACTIVA,Activa Old Model|Wego,N/M|O/M,,105.00,ACTIVA-STEERING
RX1-CHCV,review,mixed_fitment_families,yes,F1LTH45,F1LTH,CHAIN COVER RX 100/RX 135/RXG/RXZ,Chain Cover,YAMAHA,RX100,RX 100|RX 135,,,442.80,RX100-CHAINCVR
ACT-RIM-6GNM,review,mixed_fitment_families,yes,F1RIM6,F1,WHEEL RIM ACCESS N/M /ACTIVA 6G/AVIATOR N,Wheel Rim,SUZUKI,ACTIVA,Activa 6G|Access New Model|Aviator,N/M,,510.00,ACTIVA-RIM
HER-FRON-HVY-RHS,review,slash_fitment_unclear,yes,F1SM-100,F1SM,FRONT FOOTREST ASSE RHS SPL/PASS/CD HEAVY(F1),Front Footrest Asse,HERO,HERO,,,RHS,35.00,HERO-FRONTFOO-RHS
HER-REAR-HVY-LHS,review,slash_fitment_unclear,yes,F1SM-101,F1SM,REAR FOOTREST ASSE LHS SPL/PASS HEAVY(F1),Rear Footrest Asse,HERO,HERO,,,LHS,35.00,HERO-REARFOOT-LHS
HER-FRON-HVY-LHS,review,slash_fitment_unclear,yes,F1SM-102,F1SM,FRONT FOOTREST ASSE LHS SPL/PASS/CD HEAVY,Front Footrest Asse,HERO,HERO,,,LHS,35.00,HERO-FRONTFOO-LHS
SPL-GEAR-ISM,review,mixed_fitment_families,yes,F1SM-107,F1SM,GEAR LEVER SPLENDOR/PASSION/I SMART,Gear Lever Splendor/Passion/I,HERO,SPLENDOR,Splendor iSmart|Passion,,,90.00,SPLENDOR-GEARLEVE
SPL-AIRF-PROSUP,review,mixed_fitment_families,yes,F1SM-59,F1SM,AIR FILTER SUP SPL/SPL PRO/PASS PRO/NXG/CD D,Air Filter,HERO,SPLENDOR,Splendor Pro|Passion Pro|Super Splendor,,,40.00,SPLENDOR-AIRFILTER
ACT-AIRF-HET3G4GN,review,mixed_fitment_families|many_fitments,yes,F1SM-62,F1SM,AIR FILTER AVIATOR/ACTIVA HET/3G/4G/DIO N/M,Air Filter,HONDA,ACTIVA,Activa HET|Activa 3G|Activa 4G|Aviator|Dio New Model,N/M|HET|3G|4G,,50.00,ACTIVA-AIRFILTER
ACT-AIRF-NMOM,review,mixed_fitment_families,yes,F1SM-72,F1SM,AIR FILTER ACTIVA N/M/ MAESTRO/DIO O/M,Air Filter,HONDA,ACTIVA,Activa New Model|Dio Old Model|Maestro,N/M|O/M,,50.00,ACTIVA-AIRFILTER
HER-REAR-HVY-RHS,review,slash_fitment_unclear,yes,F1SM-99,F1SM,REAR FOOTREST ASSE RHS SPL/PASS HEAVY(F1),Rear Footrest Asse,HERO,HERO,,,RHS,35.00,HERO-REARFOOT-RHS
SHI-SSAS,review,mixed_fitment_families,yes,F1SS-17,F1SS,SIDE STAND ASSEMBLY SHINE/UNICORN,Side Stand Assembly,HONDA,SHINE,Shine|Unicorn,,,69.00,SHINE-SIDESTAND
ACT-VRPL-OM,review,mixed_fitment_families,yes,FCCBHEPLE100F,FCCBHEPLE,FCC VARIATOR PLATE ACTIVA O/M/PLEASURE,Variator Plate,HONDA,ACTIVA,Activa Old Model|Pleasure,O/M,,195.00,ACTIVA-VARIATOR
PAS-FCCC-ISM,review,mixed_fitment_families,yes,FCCBHESPL100P,FCCBHESPL,FCC CLUTCH STEEL PLATE HH/SPL/PASSION/SPL IS,Fcc Clutch Steel,HERO,PASSION,Passion|Splendor iSmart,,,71.40,PASSION-FCCCLUTC
ACT-VRPL-110,review,sku_collision,no,FCCHACTG1109,FCCHACT,FCC VARIATOR PLATE ACTIVA 110 CC N/M,Variator Plate,HONDA,ACTIVA,Activa 110,N/M|110,,198.25,ACTIVA-VARIATOR
